date,currency,total_amounts
01/08/2016,AUD,0.00
01/08/2016,SGD,0.00
02/08/2016,CAD,0.00
02/08/2016,EUR,0.00
02/08/2016,USD,0.00
01/08/2016,NZD,0.00
02/08/2016,AUD,0.00
02/08/2016,HKD,0.00
02/08/2016,GBP,0.00
02/08/2016,CHF,0.00
01/08/2016,HKD,0
01/08/2016,GBP,0.00
01/08/2016,CHF,0.00
10/08/2016,SGD,0
10/08/2016,NZD,0
01/08/2016,CAD,0.00
01/08/2016,USD,0.00
10/08/2016,JPY,0
10/08/2016,HKD,0
01/08/2016,JPY,0
10/08/2016,GBP,0
10/08/2016,CHF,0
10/08/2016,CAD,0
09/08/2016,JPY,0
09/08/2016,SGD,0
10/08/2016,AUD,0
09/08/2016,HKD,0.00
09/08/2016,GBP,0.00
09/08/2016,CHF,0.00
09/08/2016,CAD,0.00
09/08/2016,EUR,0.00
09/08/2016,USD,-2000.00
10/08/2016,EUR,0
10/08/2016,USD,0
08/08/2016,NZD,0.00
09/08/2016,AUD,0.00
09/08/2016,NZD,0.00
08/08/2016,JPY,0.00
08/08/2016,HKD,0.00
08/08/2016,SGD,0.00
08/08/2016,CAD,0.00
08/08/2016,USD,0.00
07/08/2016,SGD,0.00
08/08/2016,AUD,0.00
08/08/2016,GBP,0.00
07/08/2016,NZD,0.00
07/08/2016,HKD,0.00
07/08/2016,GBP,0.00
08/08/2016,CHF,0.00
08/08/2016,EUR,0.00
07/08/2016,AUD,0.00
06/08/2016,NZD,0.00
07/08/2016,USD,0.00
07/08/2016,EUR,0.00
07/08/2016,CHF,0.00
06/08/2016,SGD,0
07/08/2016,CAD,0.00
06/08/2016,JPY,5000
06/08/2016,CAD,0.00
06/08/2016,HKD,0.00
06/08/2016,GBP,0.00
06/08/2016,CHF,0.00
07/08/2016,JPY,0.00
06/08/2016,USD,0.00
05/08/2016,JPY,0
05/08/2016,HKD,0
05/08/2016,NZD,0
06/08/2016,EUR,0.00
05/08/2016,SGD,0
05/08/2016,CAD,0.00
05/08/2016,USD,0.00
04/08/2016,SGD,0.00
05/08/2016,EUR,0.00
06/08/2016,AUD,0.00
05/08/2016,AUD,0.00
05/08/2016,CHF,0.00
04/08/2016,JPY,0.00
04/08/2016,HKD,0.00
04/08/2016,NZD,0.00
04/08/2016,GBP,0.00
04/08/2016,CHF,0.00
04/08/2016,USD,0.00
03/08/2016,SGD,0.00
03/08/2016,NZD,0.00
04/08/2016,CAD,0.00
05/08/2016,GBP,0.00
04/08/2016,AUD,0.00
04/08/2016,EUR,0.00
03/08/2016,CAD,0.00
03/08/2016,AUD,0.00
03/08/2016,HKD,0
03/08/2016,GBP,0.00
03/08/2016,JPY,30000
02/08/2016,SGD,0.00
03/08/2016,CHF,0.00
03/08/2016,EUR,0.00
02/08/2016,JPY,0
02/08/2016,NZD,0.00
03/08/2016,USD,1433.21
01/08/2016,EUR,0.00
